dscd	date_y	DPL#((X(WC01001)~U$),9)	DPL#((X(WC01051)~U$),9)	DPL#((X(WC01101)~U$),9)	DPL#((X(WC01151)~U$),9)	DPL#((X(WC01201)~U$),9)	DPL#((X(WC01250)~U$),9)	DPL#((X(WC01251)~U$),9)	DPL#((X(WC01401)~U$),9)	DPL#((X(WC01451)~U$),9)	DPL#((X(WC01551)~U$),9)	DPL#((X(WC01601)~U$),9)	DPL#((X(WC01706)~U$),9)	DPL#((X(WC02001)~U$),9)	DPL#((X(WC02008)~U$),9)	DPL#((X(WC02051)~U$),9)	DPL#((X(WC02101)~U$),9)	DPL#((X(WC02140)~U$),9)	DPL#((X(WC02149)~U$),9)	DPL#((X(WC02201)~U$),9)	DPL#((X(WC02250)~U$),9)	DPL#((X(WC02256)~U$),9)	DPL#((X(WC02258)~U$),9)	DPL#((X(WC02301)~U$),9)	DPL#((X(WC02501)~U$),9)	DPL#((X(WC02649)~U$),9)	DPL#((X(WC02999)~U$),9)	DPL#((X(WC03040)~U$),9)	DPL#((X(WC03051)~U$),9)	DPL#((X(WC03054)~U$),9)	DPL#((X(WC03061)~U$),9)	DPL#((X(WC03063)~U$),9)	DPL#((X(WC03066)~U$),9)	DPL#((X(WC03101)~U$),9)	DPL#((X(WC03251)~U$),9)	DPL#((X(WC03262)~U$),9)	DPL#((X(WC03273)~U$),9)	DPL#((X(WC03351)~U$),9)	DPL#((X(WC03426)~U$),9)	DPL#((X(WC03451)~U$),9)	DPL#((X(WC03495)~U$),9)	DPL#((X(WC03501)~U$),9)	DPL#((X(WC04251)~U$),9)	DPL#((X(WC04401)~U$),9)	DPL#((X(WC04551)~U$),9)	DPL#((X(WC04601)~U$),9)	DPL#((X(WC04701)~U$),9)	DPL#((X(WC04751)~U$),9)	DPL#((X(WC04821)~U$),9)	DPL#((X(WC04860)~U$),9)	DPL#((X(WC04870)~U$),9)	DPL#((X(WC04890)~U$),9)	DPL#((X(WC05210)~U$),9)	DPL#((X(WC05230)~U$),9)	DPL#((X(WC05376)~U$),9)	DPL#((X(WC05476)~U$),9)	DPL#((X(WC18376)~U$),9)	DPL#((X(WC18381)~U$),9)	WC05350	WC05575	WC07011	WC07023
136745	1996-01-01	19563.674512863	12643.962005615	7938.18488884	2435.949949265	464.212259293	-3454.422330856	825.956260681	-11147.304420471	142.834541321	-11290.138961792	0.0	-11290.138961792	4465.131965637	1552.549362183	7647.858158112	12088.149333954		471.975006104	24673.114463806	0.0	0.0	0.0	50532.37664032	35053.459499359	0.0	59726.573963165	5575.204759598	6734.959133148	1153.544176102	0.0	184.7533741	5423.054922104	19071.516365051	4027.313045502	0.0	0.0	23098.829410553	62.101974487	0.0	-7250.405521393	26093.697130203	9649.094285965	3949.685577393	1658.122718811	6943.000747681	290.326730728	0.0	903.58372879	-8509.523054123	10538.705070496	12581.860031128	-0.426205851	-0.426205851	1658.122718811	0.883912928		15536.361467361	1996-12-31		393.0	
136745	1997-01-01	26687.721881866			3234.356803894		-13086.310306549	643.448760986	-19943.488990784		-19943.488990784		-19943.488990784	1714.722496033		7610.15063858	10404.703369141		313.167881012	20042.744384766					50413.183643341	0.0	70455.928028107		9306.048835754				14195.232639313	23501.281475067	19291.483730316		0.0	42792.765205383	68.45199585	0.0	-27935.259506226	16834.057079315			0.0	10919.804637909				-13844.416160583	11570.09859848	18394.762584686	-0.722168556	-0.722168556	0.0	0.395994796			1997-12-31		391.0	
13755T	2000-01-01	81314.85534668	29552.948925018	33264.725269318	4252.468173981	6902.345249176	14244.712978363	1311.948944092	13536.780132294	4621.047889709	8915.732242584	0.0	6004.439598083	11666.27866745	0.0	17087.810256958	0.0		8740.372730255	37494.461654663	0.0	0.0	0.0	25313.470344543	15891.143955231	12968.485416412	66354.091026306	4534.991832733	2847.96837616		1704.884147644	362.084918976	24194.741603851	33644.670879364	19360.989120483		2451.785774231	55457.445774078	0.0	0.0	6986.777606964	10896.645252228	2984.359107971	7912.286144257	2075.087562561	6822.783988953	0.0	0.0	384.816707611	15688.181556702	19432.431884766	9206.374397278	0.045544762	0.045544762	0.0	0.061457014	8045.429477692		2000-12-31		863.0	
13755T	2001-01-01	104188.013471603	44684.015756607	32448.306430817	9224.210119247	7376.380496979	15629.62112999	1153.212989807	13857.97526741	5973.703039169	7884.272228241	0.0	7143.347820282	34390.24540329	0.0	30590.020214081	0.0		7055.213666916	72035.479284286	3640.388673782	0.0	0.0	32466.232021332	19435.821516037	125619.550731659	220731.240205765	3532.835130692	11569.474878311		1858.286216736	3795.74379158	33946.58703804	54702.927055359	11600.844661713		256.93346405	72382.040700912	0.0	0.0	108750.076257706	148349.199504852	64225.897016525	191.206298828	2790.416923523	7549.661205292	9334.751260757	4481.397628784	-6899.858549118	17505.832937241	48461.833957672	40910.678953171	0.053328632	0.053328632	708.060825348	0.657943861	7409.24407959	2260.118204117	2001-12-31		1052.0	
13755T	2002-01-01	169779.630217552	83848.47675705	62112.085026741	20844.23182869	7470.565701485	4107.137426376	1698.451231956	-49738.278365135	4289.062365532	-54568.749349594	0.0	-54568.749349594	32040.620284081	0.0	34584.658633232	0.0		13197.562786102	79822.841703415	0.0	2129.249487877	0.0	43031.797408104	24110.148336411	74637.253237724	180699.492765427	4756.245609283	10937.327342033			927.089489937	39163.3455019	55784.007943153	7843.147976875		2354.83641243	76948.427664757	0.0	0.0	51813.678071022	103751.06510067	330.375689507	582.159805298	1810.516994476	8505.354755402	4895.963962555	0.0	277.98130703	11739.252473831	8022.162117004	-5515.964155197	-0.291079902	-0.291079902	1810.516994476	0.459658828	7223.147784233	3677.794569969	2002-12-31		1988.0	
13755T	2003-01-01	177088.947296143	78255.605810165	74036.059165955	19933.775867462	7408.757595062	4766.912481308	1522.964946747	3760.725280762	2332.744405746	1748.350879669	0.0	1748.350879669	38429.911462784	0.0	32236.628005981	0.0		9524.165565491	80190.705034256	0.0	2715.900491714	0.0	55188.965475082	26825.755716324	72113.839138031	181846.200380325	5967.89752388	3804.192567825		1550.333238602	338.078899384	26471.577821732	38132.080051422	6727.770097733		15021.972429276	68290.327775955	59.566282272	0.0	57595.765258789	113496.306322098	43.467287064		0.0	7999.590719223	2772.246974945	0.0	-7804.792877197	16205.248577118	3206.919845581	-10533.572565079	0.009659396	0.009659396	0.0	0.502626729	7993.15112114	4354.778203964	2003-12-31		1672.0	
13755T	2004-01-01	168173.822357178	77814.226669312		21676.922580719		-15219.852653503		-19670.164779663	-982.792179108	-18644.409008026	0.0	-18644.409008026	29727.225730896					41941.417057037	71668.642787933					29496.296421051	67658.707485199	172275.055294037		1768.667892456				37057.888706207	38826.556598663	621.181941986		21757.479316711	59613.774784088	25.062095642	0.0		112636.218414307								-1630.826366425	4704.513381958	-6813.309715271	-0.093087783	-0.093087783		0.496444311			2004-12-31			
143710	1996-01-01	9927.543245246			0.0		4372.135545435	4169.625689216	3602.05890125		3602.05890125		3602.05890125	487.23288416		1263.185524265	0.0								0.0	0.0	186601.405257655		50288.895932562						54930.778944727		4138.738859282	109358.413736584	0.0		8888.414644541	77242.991521071				0.0				7160.506537958	73233.628238397	64846.983640714	0.519496495	0.519496495		11.140110288			1996-12-31	0.18	4.0	
143710	1997-01-01	44740.370493608			16062.58834148		-3282.024157041	16641.318304682	14306.822586014		1407.748985304		1407.748985304	2132.480716228		7507.147482084	0.0								478473.00433477	2769.392384533	688524.220240904		90343.361810429						148353.772428528		162079.027913288	400776.162152246	202162.621034671		9664.478128588	85585.437053987			0.0	121447.578951849				-28450.933655633	163033.206742798	188949.60254187	0.175821843	0.175821843	0.0	10.689102573			1997-12-31	0.18	6.0	
143710	1998-01-01	49888.073835615			15209.568216278		-11609.958382695	19645.260104371	8020.260946506		-777.941367674		-777.941367674	7455.242387731		63515.138860742	0.0								420060.492425127	1815.89868471	639427.151832074		61369.263572062						275714.928791498		30500.557914471	367584.750278031	195435.672926946		8583.704052371	76406.728627096			0.0	9972.199451832				-2481.509896499	36160.971532961	44097.687743828	-0.093957347	-0.093957347	0.0	9.228823969			1998-12-31	0.18		
