DSCD,BDATE,EXMNEM,GEOGC,GEOLC,INDG,INDM,ISOCUR,MAJOR,NAME,PCUR,TIME,TYPE,WC05009,X(WC05006)~U$,X(WC08005)~U$,ISINID,W06005,INDM3,IBTKR,WC06005,EXDSCD,ISIN,TRAD,WC06035,MNEM,LOC,INDM4,W06036,WC06105,TRAC,GEOG,WC05352,WC18272,ESTAT,region,GEOGN
68616V,2009-12-30,BRU,BG,BG,113.0,Div. Fin. Services,EUR,Y,CANDELA INVEST,E,,EQ,2019-11-08,6.504,106.0,P,,Financial Services,,,BR,BE0974298300,Ordinary Shares,C056TCFA0,B:CAND,BE:CAND,Inv. Banking & Broker,,C056TCFA0,ORD,27.0,JUL,,,Europe,BELGIUM
36190X,2006-07-07,BRU,BG,BG,151.0,Consumer Digital Svs,EUR,Y,EMAKINA GROUP,E,,EQ,2019-11-06,19.685,76639.0,P,Action Ordinaries,Technology,@:@VV6,Action Ordinaries,BR,BE0003843605,Ordinary Shares,C056LWB00,B:EMKG,BE:ALEMK,Software & Comp. Svs.,,C056LWB00,ORD,27.0,DEC,,,Europe,BELGIUM
36232U,2006-07-10,BRU,BG,BG,94.0,Travel & Tourism,EUR,Y,EUROPUBLIDIS SUSP - SUSP.22/08/19,E,,EQ,,,,P,Action Ordinaire,Travel & Leisure,@:@6ZR,Action Ordinaire,BR,BE0003842599,Ordinary Shares,C056M4C00,B:ALPB,BE:ALPBS,Travel & Leisure,,C056M4C00,ORD,27.0,DEC,,,Europe,BELGIUM
36119T,2006-06-15,BRU,BG,BG,259.0,Prof.Business Support,EUR,Y,EVADIX,E,,EQ,2019-11-04,0.171,514.0,P,Parts Socials,Ind. Goods & Services,@:@QH3,Parts Socials,BR,BE0003840577,Ordinary Shares,C056HZE00,B:EVAD,BE:ALEVA,Ind. Support Services,,C056HZE00,ORD,27.0,DEC,,,Europe,BELGIUM
932654,1986-01-02,BRU,BG,BG,67.0,Brewers,EUR,Y,SC.COMIT.DE BRASSERIE,E,,EQ,2019-11-07,5470.46,410284.0,P,Parts Sociales,"Food, Bev. and Tobacc",@:@ZOM,Parts Sociales,BR,BE0003519270,Ordinary Shares,C05604360,B:COBR,BE:COBH,Beverages,,C05604360,ORD,27.0,DEC,19031231.0,,Europe,BELGIUM
885551,1997-03-26,BRU,BG,BG,150.0,Computer Services,EUR,Y,SOFTIMAT,E,,EQ,2019-11-08,5.831,28891.0,P,Ordinary,Technology,@:@YSY,Ordinary,BR,BE0003773877,Ordinary Shares,C056C8000,B:SOFT,BE:SOFT,Software & Comp. Svs.,,C056C8000,ORD,27.0,DEC,1981.0,,Europe,BELGIUM
932726,1986-10-07,BRU,BG,BG,32.0,Industrial Suppliers,BEF,Y,ABELOR DEAD - DELIST.09/02/96,BF,,EQ,,,,P,,Ind. Goods & Services,,,BR,,,,,,Ind. Support Services,,,,27.0,,,,Europe,BELGIUM
945857,1986-01-02,BRU,BG,BG,43.0,Machinery: Industrial,BEF,Y,ABFIN DEAD - DELIST.17/07/92,BF,,EQ,,,,P,,Ind. Goods & Services,,,BR,,,,,,Ind. Engineering,,,,27.0,,,,Europe,BELGIUM
51218U,2007-11-06,BRU,BG,BG,157.0,Biotechnology,EUR,Y,ABLYNX DEAD - DELIST.13/06/18,E,,EQ,2018-06-08,76.993,,P,ACTIONS ORDINAIRES,Health Care,@:@8ZN,ACTIONS ORDINAIRES,BR,BE0003877942,Ordinary Shares,C05600010,B:ABLX,BE:ABLX,Pharm. & Biotech,,C05600010,ORD,27.0,DEC,,,Europe,BELGIUM
932630,1986-01-02,BRU,BG,BG,101.0,Divers. Industrials,EUR,Y,AGRICOM AGRIGES DEAD - DEL. 26/11/99,E,,EQ,,,,P,Actions Ordinaires,Ind. Goods & Services,,Actions Ordinaires,BR,BE0003529378,,C05603320,B:AGRC,B003529,General Industrials,,C05603320,,27.0,DEC,18881210.0,,Europe,BELGIUM
