DSCD,BDATE,EXMNEM,GEOGC,GEOLC,INDG,INDM,ISOCUR,MAJOR,NAME,PCUR,TIME,TYPE,WC05009,X(WC05006)~U$,X(WC08005)~U$,ISINID,W06005,INDM3,IBTKR,WC06005,EXDSCD,ISIN,TRAD,WC06035,MNEM,LOC,INDM4,W06036,WC06105,TRAC,GEOG,WC05352,WC18272,ESTAT
68616V,2009-12-30,BRU,BG,BG,113.0,Div. Fin. Services,EUR,Y,CANDELA INVEST,E,,EQ,2019-11-08,6.504,106.0,P,,Financial Services,,,BR,BE0974298300,Ordinary Shares,C056TCFA0,B:CAND,BE:CAND,Inv. Banking & Broker,,C056TCFA0,ORD,27.0,JUL,,
36190X,2006-07-07,BRU,BG,BG,151.0,Consumer Digital Svs,EUR,Y,EMAKINA GROUP,E,,EQ,2019-11-06,19.685,76639.0,P,Action Ordinaries,Technology,@:@VV6,Action Ordinaries,BR,BE0003843605,Ordinary Shares,C056LWB00,B:EMKG,BE:ALEMK,Software & Comp. Svs.,,C056LWB00,ORD,27.0,DEC,,
36232U,2006-07-10,BRU,BG,BG,94.0,Travel & Tourism,EUR,Y,EUROPUBLIDIS SUSP - SUSP.22/08/19,E,,EQ,,,,P,Action Ordinaire,Travel & Leisure,@:@6ZR,Action Ordinaire,BR,BE0003842599,Ordinary Shares,C056M4C00,B:ALPB,BE:ALPBS,Travel & Leisure,,C056M4C00,ORD,27.0,DEC,,
36119T,2006-06-15,BRU,BG,BG,259.0,Prof.Business Support,EUR,Y,EVADIX,E,,EQ,2019-11-04,0.171,514.0,P,Parts Socials,Ind. Goods & Services,@:@QH3,Parts Socials,BR,BE0003840577,Ordinary Shares,C056HZE00,B:EVAD,BE:ALEVA,Ind. Support Services,,C056HZE00,ORD,27.0,DEC,,
932654,1986-01-02,BRU,BG,BG,67.0,Brewers,EUR,Y,SC.COMIT.DE BRASSERIE,E,,EQ,2019-11-07,5470.46,410284.0,P,Parts Sociales,"Food, Bev. and Tobacc",@:@ZOM,Parts Sociales,BR,BE0003519270,Ordinary Shares,C05604360,B:COBR,BE:COBH,Beverages,,C05604360,ORD,27.0,DEC,19031231.0,
885551,1997-03-26,BRU,BG,BG,150.0,Computer Services,EUR,Y,SOFTIMAT,E,,EQ,2019-11-08,5.831,28891.0,P,Ordinary,Technology,@:@YSY,Ordinary,BR,BE0003773877,Ordinary Shares,C056C8000,B:SOFT,BE:SOFT,Software & Comp. Svs.,,C056C8000,ORD,27.0,DEC,1981.0,
9663JV,2015-06-22,ASX,AU,AU,132.0,Medical Equipment,AUD,Y,AIRXPANDERS CDI. DEAD - DELIST.29/08/19,A$,,EQ,,,,P,Ordinary,Health Care,@:@00T3,Ordinary,SY,AU000000AXP3,CHESS Depository Interests,C036F05G0,A:AXPX,A:AXP,Medical Eq. Services,,C036F05G0,CHESS,10.0,DEC,,
74198N,2011-02-07,ASX,CN,AU,119.0,Gold Mining,AUD,N,ALACER GOLD CDI,A$,,EQ,,,,P,,Basic Resources,@:@R26,,SY,AU000000AQG6,CHESS Depository Interests,,A:AQGX,A:AQG,Prec. Metals & Mining,,,CHESS,7.0,,,
691707,1999-08-09,ASX,ID,AU,122.0,General Mining,AUD,N,ANEKA TAMBANG CDI.,A$,,EQ,,,,P,,Basic Resources,,,SY,AU000000ATM8,CHESS Depository Interests,,A:ATMX,A:ATM,Ind. Metals & Mining,,,CHESS,53.0,,,
691938,1999-11-16,ASX,SA,AU,119.0,Gold Mining,AUD,N,ANGLOGOLD ASHANTI CDI.,A$,,EQ,,,,P,,Basic Resources,@:@A0G,,SY,AU000000AGG7,CHESS Depository Interests,,A:AGGX,A:AGG,Prec. Metals & Mining,,,CHESS,18.0,,,
