gvkey,linkprim,liid,linktype,lpermno,lpermco,usedflag,linkdt,linkenddt
1000,C,00X,NU,,,-1,1961-01-01,1970-09-29
1000,P,01,NU,,,-1,1970-09-30,1970-11-12
1000,P,01,LU,25881.0,23369.0,1,1970-11-13,1978-06-30
1001,C,00X,NU,,,-1,1978-01-01,1983-09-19
1001,P,01,LU,10015.0,6398.0,1,1983-09-20,1986-07-31
1002,C,00X,NR,,,-1,1960-01-01,1970-09-29
1002,C,01,NR,,,-1,1970-09-30,1972-12-13
1002,C,01,NR,,,-1,1973-06-06,1973-08-31
1002,C,01,LC,10023.0,22159.0,1,1972-12-14,1973-06-05
1003,C,00X,NU,,,-1,1980-01-01,1983-12-06
