permno,hdrcusip,permco,siccd,nasdissuno,yyyymmdd,dlycaldt,dlydelflg,dlyprc,dlyprcflg,dlycap,dlycapflg,dlyprevprc,dlyprevprcflg,dlyprevdt,dlyprevcap,dlyprevcapflg,dlyret,dlyretx,dlyreti,dlyretmissflg,dlyretdurflg,dlyorddivamt,dlynonorddivamt,dlyfacprc,dlydistretflg,dlyvol,dlyclose,dlylow,dlyhigh,dlybid,dlyask,dlyopen,dlynumtrd,dlymmcnt,dlyprcvol,disfacpr,disfacshr,disexdt,shrout
10000,68391610,7952,3990,10396,19860107,5850,N,2.5625,BA,9430.0,BP,,NS,,,MP,,,,NS,MR,0.0,0.0,1.0,NO,1000.0,,,,2.375,2.75,,,9,2562.5,,,,3680
10000,68391610,7952,3990,10396,19860108,5851,N,2.5,BA,9200.0,BP,2.5625,BA,5850.0,9430.0,PB,-0.02439,-0.02439,0.0,NA,D1,0.0,0.0,1.0,NO,12800.0,,,,2.375,2.625,,,9,32000.0,,,,3680
10000,68391610,7952,3990,10396,19860109,5852,N,2.5,BA,9200.0,BP,2.5,BA,5851.0,9200.0,PB,0.0,0.0,0.0,NA,D1,0.0,0.0,1.0,NO,1400.0,,,,2.375,2.625,,,9,3500.0,,,,3680
10000,68391610,7952,3990,10396,19860110,5853,N,2.5,BA,9200.0,BP,2.5,BA,5852.0,9200.0,PB,0.0,0.0,0.0,NA,D1,0.0,0.0,1.0,NO,8500.0,,,,2.375,2.625,,,10,21250.0,,,,3680
10000,68391610,7952,3990,10396,19860113,5856,N,2.625,BA,9660.0,BP,2.5,BA,5853.0,9200.0,PB,0.05,0.05,0.0,NA,D3,0.0,0.0,1.0,NO,5450.0,,,,2.5,2.75,,,10,14306.3,,,,3680
10000,68391610,7952,3990,10396,19860114,5857,N,2.75,BA,10120.0,BP,2.625,BA,5856.0,9660.0,PB,0.047619,0.047619,0.0,NA,D1,0.0,0.0,1.0,NO,2075.0,,,,2.625,2.875,,,10,5706.3,,,,3680
10000,68391610,7952,3990,10396,19860115,5858,N,2.875,BA,10580.0,BP,2.75,BA,5857.0,10120.0,PB,0.045455,0.045455,0.0,NA,D1,0.0,0.0,1.0,NO,22490.0,,,,2.75,3.0,,,10,64658.8,,,,3680
10000,68391610,7952,3990,10396,19860116,5859,N,3.0,BA,11040.0,BP,2.875,BA,5858.0,10580.0,PB,0.043478,0.043478,0.0,NA,D1,0.0,0.0,1.0,NO,10900.0,,,,2.875,3.125,,,10,32700.0,,,,3680
10000,68391610,7952,3990,10396,19860117,5860,N,3.0,BA,11040.0,BP,3.0,BA,5859.0,11040.0,PB,0.0,0.0,0.0,NA,D1,0.0,0.0,1.0,NO,8470.0,,,,2.875,3.125,,,10,25410.0,,,,3680
10000,68391610,7952,3990,10396,19860120,5863,N,3.0,BA,11040.0,BP,3.0,BA,5860.0,11040.0,PB,0.0,0.0,0.0,NA,D3,0.0,0.0,1.0,NO,1000.0,,,,2.875,3.125,,,10,3000.0,,,,3680
