permco,issinfostartdt,issinfoenddt,issuerbegdt,issuerenddt,issuerhdrflg,cnum,issuernm,securityrangecnt,securitytotalcnt,usincflg,issuertype,issuerstatustype,siccd,naics,icbindustry,uesindustry,nasdcompno
2,1972-12-14,1984-09-03,1972-12-14,1999-05-21,N,34870.0,ANGLO AMERICAN GOLD INVT LTD,1,1,N,ACOR,AC,0.0,0.0,NOAVAIL,NOAVAIL,60000001
2,1984-09-04,1986-03-31,1972-12-14,1999-05-21,N,34870.0,ANGLO AMERICAN GOLD INVT LTD,1,1,N,ACOR,AC,6799.0,0.0,NOAVAIL,NOAVAIL,60000001
2,1986-04-01,1999-05-21,1972-12-14,1999-05-21,Y,34870.0,ANGLO AMERICAN GOLD INVT LTD,1,1,N,ACOR,AC,1040.0,0.0,NOAVAIL,NOAVAIL,60000001
2,1999-05-22,1999-05-24,1972-12-14,1999-05-21,N,,ANGLO AMERICAN GOLD INVT LTD (Last Known),0,1,N,,NT,,,NOAVAIL,NOAVAIL,0
3,1977-01-27,1981-04-26,1977-01-27,1982-10-14,N,141847.0,CARIBBEAN FIN INC,1,1,Y,ACOR,AC,0.0,0.0,NOAVAIL,NOAVAIL,60000002
3,1981-04-27,1982-10-14,1977-01-27,1982-10-14,Y,21368.0,ALTAIR CORP P R,1,1,Y,ACOR,AC,6159.0,0.0,NOAVAIL,NOAVAIL,60000002
3,1982-10-15,1986-12-12,1977-01-27,1982-10-14,N,,ALTAIR CORP P R (Last Known),0,1,N,,NT,,,NOAVAIL,NOAVAIL,0
4,1972-12-14,1973-05-28,1972-12-14,1997-02-21,N,14473.0,ALEXANDER & ALEXANDER INC,1,1,Y,CORP,AC,0.0,0.0,NOAVAIL,NOAVAIL,60000003
4,1973-05-29,1997-02-21,1972-12-14,1997-02-21,Y,14476.0,ALEXANDER & ALEXANDER SVCS INC,1,1,Y,CORP,AC,6411.0,0.0,NOAVAIL,NOAVAIL,60000003
4,1997-02-22,1997-02-24,1972-12-14,1997-02-21,N,,ALEXANDER & ALEXANDER SVCS INC (Last Known),0,1,N,,NT,,,NOAVAIL,NOAVAIL,0
