ticker,cusip,cname,oftic,actdats,estimid,analyst,ereccd,etext,ireccd,itext,emaskcd,amaskcd,usfirm,acttims,revdats,revtims,anndats,anntims
0,87482X10,TALMER BANCORP,TLMR,2014-03-10,RBCDOMIN,ARFSTROM      J,2.0,OUTPERFORM,2,BUY,659,71182,1,08:54:03,2016-01-26,09:35:52,2014-03-10,00:20:00
0,87482X10,TALMER BANCORP,TLMR,2014-03-11,JPMORGAN,ALEXOPOULOS   S,,OVERWEIGHT,2,BUY,1243,79092,1,17:10:47,2016-01-26,10:09:34,2014-03-10,00:25:00
0,87482X10,TALMER BANCORP,TLMR,2014-03-11,KEEFE,MCGRATTY      C,2.0,OUTPERFORM,2,BUY,1308,119962,1,15:17:15,2015-07-30,07:25:58,2014-03-09,17:05:00
0,87482X10,TALMER BANCORP,TLMR,2014-03-11,RAYMOND,LONG          D,1.0,STRONG BUY,1,STRONG BUY,1929,80474,1,15:49:22,2016-01-19,08:06:44,2014-03-10,06:48:00
0,87482X10,TALMER BANCORP,TLMR,2014-03-11,STERNE,GREEN         P,2.0,NEUTRAL,3,HOLD,2209,50789,1,15:22:08,2014-11-07,12:20:17,2014-03-10,07:45:00
0,87482X10,TALMER BANCORP,TLMR,2014-12-03,FIG,RODIS         J,,OUTPERFORM,1,STRONG BUY,6956,72481,1,12:51:16,2015-02-18,14:40:30,2014-12-03,07:36:00
0,87482X10,TALMER BANCORP,TLMR,2015-05-06,FIG,RODIS         J,,MARKET PERFORM,3,HOLD,6956,72481,1,15:47:10,2015-12-29,14:04:42,2015-04-30,14:03:00
0,87482X10,TALMER BANCORP,TLMR,2015-07-30,KEEFE,MCGRATTY      C,3.0,MARKET PERFORM,3,HOLD,1308,119962,1,16:58:15,2016-01-26,10:18:25,2015-07-30,16:40:00
0,87482X10,TALMER BANCORP,TLMR,2015-08-04,STEPHENS,MCEVOY        T,3.0,3 EQUAL-WEIGHT,3,HOLD,2206,8675,1,14:07:13,2016-05-03,08:19:53,2015-08-04,08:00:00
0,87482X10,TALMER BANCORP,TLMR,2016-01-26,RBCDOMIN,ARFSTROM      J,3.0,SECTOR PERFORM,3,HOLD,659,71182,1,21:57:09,2016-04-28,10:48:13,2016-01-26,21:44:00
