ticker,cusip,oftic,cname,statpers,measure,fiscalp,fpi,estflag,curcode,numest,numup,numdown,medest,meanest,stdev,highest,lowest,usfirm,fpedats
3,66515910,FFF,NORTHERN FRONTIER CORP,2014-04-17,EPS,QTR,6,P,CAD,2,0,1,0.03,0.03,0.01,0.04,0.03,0,2014-03-31
3,66515910,FFF,NORTHERN FRONTIER CORP,2014-05-15,EPS,QTR,6,P,CAD,2,0,0,0.03,0.03,0.01,0.04,0.03,0,2014-03-31
3,66515910,FFF,NORTHERN FRONTIER CORP,2014-06-19,EPS,QTR,6,P,CAD,2,0,0,0.02,0.02,0.02,0.04,0.01,0,2014-06-30
3,66515910,FFF,NORTHERN FRONTIER CORP,2014-07-17,EPS,QTR,6,P,CAD,1,0,1,-0.06,-0.06,,-0.06,-0.06,0,2014-06-30
3,66515910,FFF,NORTHERN FRONTIER CORP,2014-08-14,EPS,QTR,6,P,CAD,1,0,0,-0.06,-0.06,,-0.06,-0.06,0,2014-06-30
3,66515910,FFF,NORTHERN FRONTIER CORP,2014-04-17,EPS,QTR,7,P,CAD,2,0,0,0.02,0.02,0.02,0.04,0.01,0,2014-06-30
3,66515910,FFF,NORTHERN FRONTIER CORP,2014-05-15,EPS,QTR,7,P,CAD,2,0,0,0.02,0.02,0.02,0.04,0.01,0,2014-06-30
3,66515910,FFF,NORTHERN FRONTIER CORP,2014-09-18,EPS,QTR,6,P,CAD,1,0,0,0.1,0.1,,0.1,0.1,0,2014-09-30
3,66515910,FFF,NORTHERN FRONTIER CORP,2014-06-19,EPS,QTR,7,P,CAD,2,0,0,0.11,0.11,0.02,0.13,0.1,0,2014-09-30
3,66515910,FFF,NORTHERN FRONTIER CORP,2014-07-17,EPS,QTR,7,P,CAD,1,0,0,0.1,0.1,,0.1,0.1,0,2014-09-30
